batch_id,batch_template,source_row_id,scenario,scenario_family,materialized_payout_ref,intent_amount,expected_settlement_amount,expected_unmatched_amount,expected_under_settlement_amount,expected_reversal_amount,expected_total_leakage_amount,has_settlement,settlement_delay_days
LEAK_BATCH_009,under_heavy,1969,clean,clean,LEAK_BATCH_009_PAY_0001,1973.86,1973.86,0.00,0.00,0.00,0.00,true,0
LEAK_BATCH_009,under_heavy,1859,clean,clean,LEAK_BATCH_009_PAY_0002,3331.42,3331.42,0.00,0.00,0.00,0.00,true,0
LEAK_BATCH_009,under_heavy,1580,clean,clean,LEAK_BATCH_009_PAY_0003,3564.35,3564.35,0.00,0.00,0.00,0.00,true,0
LEAK_BATCH_009,under_heavy,1292,clean,clean,LEAK_BATCH_009_PAY_0004,2364.92,2364.92,0.00,0.00,0.00,0.00,true,0
LEAK_BATCH_009,under_heavy,1384,clean,clean,LEAK_BATCH_009_PAY_0005,1009.48,1009.48,0.00,0.00,0.00,0.00,true,0
LEAK_BATCH_009,under_heavy,796,clean,clean,LEAK_BATCH_009_PAY_0006,1793.93,1793.93,0.00,0.00,0.00,0.00,true,0
LEAK_BATCH_009,under_heavy,1453,clean,clean,LEAK_BATCH_009_PAY_0007,2182.96,2182.96,0.00,0.00,0.00,0.00,true,0
LEAK_BATCH_009,under_heavy,1772,clean,clean,LEAK_BATCH_009_PAY_0008,921.07,921.07,0.00,0.00,0.00,0.00,true,0
LEAK_BATCH_009,under_heavy,1284,clean,clean,LEAK_BATCH_009_PAY_0009,984.30,984.30,0.00,0.00,0.00,0.00,true,0
LEAK_BATCH_009,under_heavy,1365,clean,clean,LEAK_BATCH_009_PAY_0010,3580.46,3580.46,0.00,0.00,0.00,0.00,true,0
LEAK_BATCH_009,under_heavy,1335,clean,clean,LEAK_BATCH_009_PAY_0011,104.38,104.38,0.00,0.00,0.00,0.00,true,0
LEAK_BATCH_009,under_heavy,1132,clean,clean,LEAK_BATCH_009_PAY_0012,703.07,703.07,0.00,0.00,0.00,0.00,true,0
LEAK_BATCH_009,under_heavy,545,clean,clean,LEAK_BATCH_009_PAY_0013,2155.37,2155.37,0.00,0.00,0.00,0.00,true,0
LEAK_BATCH_009,under_heavy,190,clean,clean,LEAK_BATCH_009_PAY_0014,3599.06,3599.06,0.00,0.00,0.00,0.00,true,0
LEAK_BATCH_009,under_heavy,370,clean,clean,LEAK_BATCH_009_PAY_0015,1838.10,1838.10,0.00,0.00,0.00,0.00,true,0
LEAK_BATCH_009,under_heavy,848,clean,clean,LEAK_BATCH_009_PAY_0016,3899.94,3899.94,0.00,0.00,0.00,0.00,true,0
LEAK_BATCH_009,under_heavy,1529,clean,clean,LEAK_BATCH_009_PAY_0017,2954.71,2954.71,0.00,0.00,0.00,0.00,true,0
LEAK_BATCH_009,under_heavy,954,clean,clean,LEAK_BATCH_009_PAY_0018,4723.58,4723.58,0.00,0.00,0.00,0.00,true,0
LEAK_BATCH_009,under_heavy,1232,clean,clean,LEAK_BATCH_009_PAY_0019,1689.67,1689.67,0.00,0.00,0.00,0.00,true,0
LEAK_BATCH_009,under_heavy,1231,clean,clean,LEAK_BATCH_009_PAY_0020,3599.31,3599.31,0.00,0.00,0.00,0.00,true,0
LEAK_BATCH_009,under_heavy,1176,clean,clean,LEAK_BATCH_009_PAY_0021,1842.57,1842.57,0.00,0.00,0.00,0.00,true,0
LEAK_BATCH_009,under_heavy,493,clean,clean,LEAK_BATCH_009_PAY_0022,3842.54,3842.54,0.00,0.00,0.00,0.00,true,0
LEAK_BATCH_009,under_heavy,1849,clean,clean,LEAK_BATCH_009_PAY_0023,3474.05,3474.05,0.00,0.00,0.00,0.00,true,0
LEAK_BATCH_009,under_heavy,89,clean,clean,LEAK_BATCH_009_PAY_0024,1719.82,1719.82,0.00,0.00,0.00,0.00,true,0
